Hovedkategori,Aktivitetskode,MET-værdi,Aktivitetsbeskrivelse (Dansk)
Have- og udendørsarbejde,8135,2.6,"Plante, omplante stiklinger eller planter, let indsats"
Have- og udendørsarbejde,8140,4.3,"Plante stiklinger/buske, foroverbøjet, moderat indsats"
Have- og udendørsarbejde,8145,4.3,"Plante afgrøder i have/mark, foroverbøjet, moderat indsats"
Have- og udendørsarbejde,8150,4.5,Plante træer
Have- og udendørsarbejde,8160,4,"Rive græsplæne eller blade sammen, moderat indsats"
Have- og udendørsarbejde,8165,4,Rive græsplæne (Taylor-kode 600)
Have- og udendørsarbejde,8170,4,Rive sne ned af tag med snerive
Have- og udendørsarbejde,8180,3,Køre sneslynge (siddende)
Have- og udendørsarbejde,8190,4,Samle græs/blade i sække
Have- og udendørsarbejde,8192,5.5,Skovle jord eller mudder
Have- og udendørsarbejde,8195,5.3,"Skovle sne med håndkraft, moderat indsats"
Have- og udendørsarbejde,8200,6,Skovle sne med håndkraft (Taylor-kode 610)
Have- og udendørsarbejde,8202,7.5,"Skovle sne med håndkraft, hård indsats"
Have- og udendørsarbejde,8210,3.8,Klippe buske eller træer med håndværktøj
Have- og udendørsarbejde,8215,3.3,"Klippe buske/træer med el-værktøj, bruge løvblæser/kantskærer, moderat indsats"
Have- og udendørsarbejde,8220,3,"Gående, gøde eller så græs med skubbe-spreder"
Have- og udendørsarbejde,8230,4,"Vande græsplæne eller have, stående eller gående"
Have- og udendørsarbejde,8239,3.8,"Luge ukrudt, kultivere have, let til moderat indsats"
Have- og udendørsarbejde,8240,4.5,"Luge ukrudt, kultivere have, moderat indsats (Taylor-kode 580)"
Have- og udendørsarbejde,8241,5,"Luge ukrudt, kultivere have med hakkejern, moderat til hård indsats"
Have- og udendørsarbejde,8245,3.8,"Havearbejde, generelt, moderat indsats"
Have- og udendørsarbejde,8246,3.5,"Plukke frugt eller kaffebønner fra træer, moderat indsats"
Have- og udendørsarbejde,8248,4.5,"Høste afgrøder, plukke frugt fra træer, samle frugt, klatre på stige for at plukke frugt, hård indsats"
Have- og udendørsarbejde,8250,3,"Gående/stående - rydde op i haven, let, plukke blomster eller grøntsager"
Have- og udendørsarbejde,8251,3,"Gående, samle haveredskaber"
Have- og udendørsarbejde,8255,4.8,"Skubbe havevogn eller trillebør, generelt"
Have- og udendørsarbejde,8256,6,Skubbe stor havevogn eller tung trillebør (op til 150 kg)
Have- og udendørsarbejde,8260,2.3,"Have/udendørsarbejde, generelt, let indsats"
Have- og udendørsarbejde,8261,4,"Have/udendørsarbejde, generelt, moderat indsats"
Have- og udendørsarbejde,8262,6,"Have/udendørsarbejde, generelt, hård indsats"
Diverse,9000,1.3,"Spille brætspil, siddende"
Diverse,9005,2.5,"Spille casinospil, stående"
Diverse,9010,1.5,"Spille kort, siddende"
Diverse,9013,1.5,"Spille skak, siddende"
Diverse,9015,1.5,"Kopiere eller arkivere dokumenter, stående"
Diverse,9020,1.8,"Tegne, skrive, male, stående"
Diverse,9025,1,"Grine, siddende"
Diverse,9030,1,"Siddende: læse bog, avis eller magasin"
Diverse,9034,1.8,Siddende: skrive eller læse på balancebold/stol
Diverse,9036,2,"Se fjernsyn, trippe/gå på stedet under reklamepauser"
Diverse,9040,1.3,"Siddende: skrive, skrivebordsarbejde, tastearbejde"
Diverse,9050,1.3,"Stående: tale personligt, i telefon, ved computer, sms'e, skrive"
Diverse,9055,1.3,"Siddende: tale personligt, i telefon, ved computer eller sms'e, let indsats"
Diverse,9060,1.5,"Siddende - studere, generelt, inkl. læsning og/eller skrivning, let indsats"
Diverse,9065,1.8,"Siddende - i klasse/undervisning, generelt, inkl. tage noter eller klassediskussion"
Diverse,9070,1,Stående - læse
Diverse,9071,2.5,Stående - diverse
Diverse,9075,1.8,"Siddende: kunsthåndværk, træskæring, vævning, spinde uld, let indsats"
Diverse,9080,3,"Siddende: kunsthåndværk, træskæring, vævning, spinde uld, moderat indsats"
Diverse,9085,2.5,"Stående: kunsthåndværk, sandmaling, træskæring, vævning, let indsats"
Diverse,9090,3.3,"Stående - kunsthåndværk, sandmaling, træskæring, vævning, moderat indsats"
Diverse,9095,3.5,"Stående - kunsthåndværk, sandmaling, træskæring, vævning, hård indsats"
Diverse,9100,1.5,"Retræte/familiekomsammen, inkl. sidde, slappe af, tale, spise"
Diverse,9101,2.5,"Retræte/familiekomsammen, inkl. spille spil/lege med børn"
Diverse,9105,2,"Tur/rejse/ferie, køre som passager i køretøj"
Diverse,9106,3.5,"Tur/rejse/ferie, gående"
Diverse,9110,2.5,"Camping, stående, gående, siddende, let til moderat indsats"
Diverse,9115,1.5,"Sidde til sportsbegivenhed, tilskuer"
Musikutøvelse,10010,1.8,"Spille harmonika, siddende"
Musikutøvelse,10020,2.3,"Spille cello, siddende"
Musikutøvelse,10030,2.3,"Dirigere orkester, stående"
Musikutøvelse,10035,2.5,"Spille kontrabas, stående"
Musikutøvelse,10040,3.8,"Spille trommesæt, siddende"
Musikutøvelse,10045,3,"Trommespil (f.eks. bongo, conga), moderat, siddende"
Musikutøvelse,10048,8.3,"Trommespil, koncert/liveshow"
Musikutøvelse,10050,2,"Spille tværfløjte, siddende"
Musikutøvelse,10060,1.8,"Spille horn, stående"
Musikutøvelse,10070,2.3,"Spille klaver, siddende"
Musikutøvelse,10074,2,"Spille musikinstrument, generelt"
Musikutøvelse,10077,2,"Spille orgel, siddende"
Musikutøvelse,10080,3.5,"Spille trækbasun (trombone), stående"
Musikutøvelse,10090,2.5,"Spille trompet, stående"
Musikutøvelse,10100,2.5,"Spille violin, siddende"
Musikutøvelse,10110,1.8,"Spille træblæser, siddende"
Musikutøvelse,10115,1.8,"Spille messingblæser, siddende"
Musikutøvelse,10120,2,"Spille guitar, klassisk/folk, siddende"
Musikutøvelse,10125,3,"Spille el-guitar i rockband, stående"
Musikutøvelse,10130,4,"Marchband, svinge tamburstav, gående, moderat tempo, generelt"
Musikutøvelse,10131,5.5,"Marchband, spille instrument, gående, rask tempo, generelt"
Musikutøvelse,10135,3.5,"Marchband, tamburmajor, gående"
Erhvervsarbejde,11000,2,"Aktiv arbejdsstation, kontorcykel, balancebold/stol, generelt, let indsats"
Erhvervsarbejde,11001,3.5,"Aktiv arbejdsstation, kontorcykel (40 watt)"
Erhvervsarbejde,11002,5.3,"Aktiv arbejdsstation, kontorcykel (80 watt)"
Erhvervsarbejde,11003,2,"Aktiv arbejdsstation, gåbånd, gå langsomt (under 1,6 km/t)"
Erhvervsarbejde,11004,2.8,"Aktiv arbejdsstation, gåbånd, gå 1,6 - 3,2 km/t"
Erhvervsarbejde,11006,3,Stewardesse / kabinepersonale
Erhvervsarbejde,11008,4.8,Æblehøst
Erhvervsarbejde,11010,4,"Bageri, generelt, moderat indsats"
Erhvervsarbejde,11015,2,"Bageri, let indsats"
Erhvervsarbejde,11020,2.3,Bogbinding
Erhvervsarbejde,11030,6,"Vejbyggeri, køre entreprenørmaskiner"
Erhvervsarbejde,11035,2,"Vejbyggeri, dirigere trafik, stående"
Erhvervsarbejde,11038,2.5,"Tømrerarbejde, generelt, let indsats"
Erhvervsarbejde,11040,4.3,"Tømrerarbejde, generelt, moderat indsats"
Erhvervsarbejde,11042,7,"Tømrerarbejde, generelt, tung eller hård indsats"
Erhvervsarbejde,11050,8,"Bære tunge byrder (f.eks. mursten, værktøj)"
Erhvervsarbejde,11060,8,"Bære moderate byrder op ad trapper, flyttekasser, 11-22 kg"
Erhvervsarbejde,11070,4,"Stuepige/rengøring på hotel, rede seng, rengøre bad, skubbe vogn"
Erhvervsarbejde,11072,4.3,"Rengøring, støvsugning af erhvervslokaler"
Erhvervsarbejde,11080,5.3,"Kulminedrift, bore i kul/sten"
Erhvervsarbejde,11090,5,"Kulminedrift, opsætte støtter"
Erhvervsarbejde,11100,5.5,"Kulminedrift, generelt"
Erhvervsarbejde,11110,6.3,"Kulminedrift, skovle kul med håndkraft"
Erhvervsarbejde,11115,2.5,Kok
Erhvervsarbejde,11120,4,"Bygge- og anlægsarbejde, udendørs, renovering, nybyggeri"
Erhvervsarbejde,11124,2.3,"Byggearbejde, armering, bukke/binde jern"
Erhvervsarbejde,11125,2.3,"Rengøringsarbejde, let indsats (f.eks. vaske vask/toilet, støve af, støvsuge)"
Erhvervsarbejde,11130,3.3,"Elektrikerarbejde (f.eks. trække kabler, samle ledninger)"
Erhvervsarbejde,11135,1.8,Ingeniør (f.eks. maskin- eller el-ingeniør)
Erhvervsarbejde,11145,7.8,"Landbrug, hård indsats (f.eks. pakke hø, muge ud)"
Erhvervsarbejde,11147,2,"Landbrug, let indsats (f.eks. rengøre dyrestalde, blande foder)"
Erhvervsarbejde,11170,2.8,"Landbrug, køreopgaver (f.eks. køre traktor eller mejetærsker)"
Erhvervsarbejde,11180,3.5,"Landbrug, fodre smådyr"
Erhvervsarbejde,11190,4.3,"Landbrug, fodre kvæg eller heste"
Erhvervsarbejde,11191,4.3,"Landbrug, hente vand til dyr fra brønd/å"
Erhvervsarbejde,11195,3.8,"Landbrug, ris, plantning, kornmaling"
Erhvervsarbejde,11210,3.5,"Landbrug, håndmalkning, rengøre spande, moderat indsats"
Erhvervsarbejde,11220,1.3,"Landbrug, maskinmalkning, let indsats"
Erhvervsarbejde,11222,3,"Landbrug, malkning af køer, komplet proces i moderne malkestald"
Erhvervsarbejde,11240,8,"Brandmand, generelt"
Erhvervsarbejde,11244,6.8,"Brandmand, redde offer, bilulykke, bruge brandhage"
Erhvervsarbejde,11245,8,"Brandmand, rejse og klatre på stige i fuld mundering, simuleret brandslukning"
Erhvervsarbejde,11246,9,"Brandmand, trække slanger, bære udstyr, bryde vægge ned, i fuld mundering"
Erhvervsarbejde,11247,3.5,"Erhvervsfiskeri, let indsats"
Erhvervsarbejde,11248,5,"Erhvervsfiskeri, moderat indsats"
Erhvervsarbejde,11250,17.5,"Skovbrug, hugge med økse, meget hurtigt (1,25 kg økse, 51 slag/min), ekstremt hård indsats"
Erhvervsarbejde,11260,5,"Skovbrug, hugge med økse, langsomt (1,25 kg økse, 19 slag/min), moderat indsats"
Erhvervsarbejde,11262,8,"Skovbrug, hugge med økse, hurtigt (1,25 kg økse, 35 slag/min), hård indsats"
Erhvervsarbejde,11264,5,"Skovbrug, moderat indsats (f.eks. save med motorsav, luge, hakke)"
Erhvervsarbejde,11370,4.8,Buntmager (pelsarbejde)
Erhvervsarbejde,11375,3.8,"Skraldemand, gående, tømme spande i bil, gaderengøring"
Erhvervsarbejde,11378,1.8,"Frisør / Kosmetolog (f.eks. flette hår, manicure, makeup)"
Erhvervsarbejde,11380,7.3,"Hestepleje (inkl. fodring, muge ud, vask, børstning, klipning, longering)"
Erhvervsarbejde,11381,4.3,"Heste, fodre, vande, muge ud, gående og løfte byrder"
Erhvervsarbejde,11383,4.5,"Ridning, arbejde, drive kvæg"
Erhvervsarbejde,11390,7.8,"Hestevæddeløb, galop, canter"
Erhvervsarbejde,11400,6.3,"Hestevæddeløb, jockey, trav"
Erhvervsarbejde,11410,2.3,"Hestevæddeløb, jockey, skridt"
Erhvervsarbejde,11413,3,Køkkenmedhjælper
Erhvervsarbejde,11415,4,"Gartner, havearbejde, generelt"
Erhvervsarbejde,11416,3,"Gartner, fjerne ukrudt (benzindrevet værktøj)"
Erhvervsarbejde,11418,3.3,Vaskeriarbejder
Erhvervsarbejde,11420,3,Låsesmed
Erhvervsarbejde,11430,3,"Maskinarbejder (f.eks. pladearbejde, drejebænk, svejsning), let til moderat indsats"
Erhvervsarbejde,11450,5,"Maskinarbejder, betjene stansemaskine, moderat indsats"
Erhvervsarbejde,11472,1.8,Ejendomsadministrator/vicevært
Erhvervsarbejde,11475,2.8,"Manuelt eller ufaglært arbejde, generelt, let indsats"
Erhvervsarbejde,11476,4.5,"Manuelt eller ufaglært arbejde, generelt, moderat indsats"
Erhvervsarbejde,11477,6.5,"Manuelt eller ufaglært arbejde, generelt, hård indsats"
Erhvervsarbejde,11480,4.3,"Murerarbejde, beton, moderat indsats"
Erhvervsarbejde,11482,2.5,"Murerarbejde, beton, let indsats"
Erhvervsarbejde,11485,5.5,"Massør, stående"
Erhvervsarbejde,11486,2.3,"Postbud, gående uddeling af post"
Erhvervsarbejde,11487,1.5,"Postbud, på knallert/motorcykel"
Erhvervsarbejde,11488,3.5,"Postbud, på elcykel"
Erhvervsarbejde,11490,7.5,"Flytning, bære/skubbe tunge byrder (over 34 kg), f.eks. flyttemand (kun aktiv tid)"
Erhvervsarbejde,11493,8.5,"Minedrift, generelle opgaver, boring, support (mekanik, svejsning, rørarbejde)"
Erhvervsarbejde,11495,12,"Frømand, SCUBA-dykning (militær/Navy Seal)"
Erhvervsarbejde,11500,2.5,"Betjene tunge maskiner, stationært"
Erhvervsarbejde,11510,3.5,"Arbejde i appelsinplantage, plukke frugt"
Erhvervsarbejde,11514,3.3,"Malerarbejde, hus/møbler, moderat indsats"
Erhvervsarbejde,11516,3,VVS-arbejde
Erhvervsarbejde,11520,2,"Trykkeriarbejder, papirindustri, stående"
Erhvervsarbejde,11524,3.8,"Politibetjent, gående patrulje"
Erhvervsarbejde,11525,2.5,"Politi, dirigere trafik, stående"
Erhvervsarbejde,11526,2,"Politi, køre patruljevogn, siddende"
Erhvervsarbejde,11527,1.3,"Politi, passager i patruljevogn, siddende"
Erhvervsarbejde,11528,4,"Politi, foretage anholdelse, stående"
Erhvervsarbejde,11529,9,"Antiterror-manøvrer, rydde bygning"
Erhvervsarbejde,11530,2,"Skomager, generelt"
Erhvervsarbejde,11540,7.3,"Skovle, grave grøfter"
Erhvervsarbejde,11550,8.8,"Skovle (mere end 7 kg/min), grave dybt, hård indsats"
Erhvervsarbejde,11560,5,"Skovle (mindre end 4,5 kg/min), moderat indsats"
Erhvervsarbejde,11570,6.5,"Skovle (4,5 - 7 kg/min), hård indsats"
Erhvervsarbejde,11580,1.5,"Siddende arbejde, let indsats (f.eks. kontor, laborant, urmager, læse)"
Erhvervsarbejde,11582,1.3,"Siddende, computerarbejde"
Erhvervsarbejde,11583,1.3,"Stående arbejdsstation, taste/computerarbejde"
Erhvervsarbejde,11585,1.3,"Siddende møder, let indsats, generelt, evt. med tale (f.eks. forretningsfrokost)"
Erhvervsarbejde,11590,2.5,"Siddende arbejde, moderat indsats (f.eks. trække i tunge håndtag, køre truck/kran)"
Erhvervsarbejde,11593,2.8,"Siddende, undervise i udstrækning/yoga, lette hold"
Erhvervsarbejde,11615,4.5,"Stående, moderat indsats, kontinuerlige løft (4,5 - 9 kg), begrænset gang/hvile"
Erhvervsarbejde,11620,3.8,"Stående, moderat indsats, løft (22 kg) i intervaller, binde/sno reb"
Erhvervsarbejde,11630,4.5,"Stående, moderat/tungt arbejde (f.eks. løft over 22 kg, murer, maler)"
Erhvervsarbejde,11650,2.3,"Patientpleje, sundhedsfagligt arbejde"
Erhvervsarbejde,11660,3.5,"Patientpleje, rengøring/klargøring af stue"
Erhvervsarbejde,11708,5.3,"Stålværk, moderat indsats (f.eks. smedning, vippe forme)"
Erhvervsarbejde,11710,8.3,"Stålværk, hård indsats (f.eks. fjerne slagger, passe ovn)"
Erhvervsarbejde,11720,2.3,"Skrædderi, klippe stof"
Erhvervsarbejde,11730,2.5,"Skrædderi, generelt"
Erhvervsarbejde,11740,1.8,"Skrædderi, håndsyning"
Erhvervsarbejde,11750,2.5,"Skrædderi, maskinsyning"
Erhvervsarbejde,11760,3.5,"Skrædderi, strygning/presning"
Erhvervsarbejde,11763,2,"Skrædderi/vævning, let indsats (f.eks. vask, farvning, inspektion)"
Erhvervsarbejde,11766,6.5,"Lastbilchauffør, læsse af/på, spænde last fast, stående/gående med tunge løft"
Erhvervsarbejde,11767,2,"Chauffør (varevogn, taxa, bus)"
Erhvervsarbejde,11770,1.3,Tastaturarbejde (computer/skrivemaskine)
Erhvervsarbejde,11780,6.3,Brug af tunge el-værktøjer/trykluft (f.eks. trykluftbor)
Erhvervsarbejde,11790,7.8,"Brug af tungt håndværktøj (skovl, hakke, spade)"
Erhvervsarbejde,11791,2,"Gående på jobbet, under 3,2 km/t, meget langsomt i kontor/laboratorium"
Erhvervsarbejde,11792,3.8,"Gående på jobbet, 4,5-5,5 km/t, moderat tempo, uden at bære noget"
Erhvervsarbejde,11793,4.8,"Gående på jobbet, 5,6-6,3 km/t, rask tempo, uden at bære noget"
Erhvervsarbejde,11795,3.5,"Gående på jobbet, 4 km/t, langsomt tempo, bære lette genstande (under 11 kg)"
Erhvervsarbejde,11796,3,"Gående, samle ting sammen på jobbet, gøre klar til at gå"
Erhvervsarbejde,11797,3.8,"Gående, 4 km/t, bære tunge genstande (over 11 kg)"
Erhvervsarbejde,11800,4.5,"Gående, 4,8 km/t, bære lette genstande (under 11 kg)"
Erhvervsarbejde,11805,3.8,"Gående, skubbe kørestol"
Erhvervsarbejde,11810,4.5,"Gående, 5,6 km/t, rask tempo, bære genstande (under 11 kg)"
Erhvervsarbejde,11820,4,"Gående/gå ned ad trapper/stående, bære 11-22 kg"
Erhvervsarbejde,11830,5.5,"Gående/gå ned ad trapper/stående, bære 23-33 kg"
Erhvervsarbejde,11840,7,"Gående/gå ned ad trapper/stående, bære 34-45 kg"
Erhvervsarbejde,11850,7.3,"Gående/gå ned ad trapper/stående, bære over 45 kg"
Erhvervsarbejde,11860,2.3,"Lager/fragtcentral, læsse kasser af og på"
Erhvervsarbejde,11862,4.3,"Lager/fragtcentral, flytte kasser (~5 kg)"
Erhvervsarbejde,11870,3,"Teaterarbejde, skuespiller eller scenetekniker"
Erhvervsarbejde,11880,3.5,"Soldater, militærmarch, uden oppakning, 2,4 - 4 km/t"
Erhvervsarbejde,11882,4,"Soldater, militærmarch, 10-30 kg oppakning, 2,4 - 4 km/t"
Erhvervsarbejde,11884,5,"Militærmarch (Airborne Shuffle), 20-30 kg oppakning, 4 - 5,6 km/t"
Erhvervsarbejde,11886,6.3,"Soldater, militærmarch i varierende terræn, 25-40 kg oppakning"
Erhvervsarbejde,11887,6,"Soldater, gående, 4,5 km/t, 5% stigning, op til 21,5 kg oppakning"
Erhvervsarbejde,11888,8.5,"Soldater, gående, 4,5 km/t, 10% stigning, op til 21,5 kg oppakning"
Erhvervsarbejde,11889,11,"Soldater, gående, 4,5 km/t, 15% stigning, op til 21,5 kg oppakning"
Erhvervsarbejde,11892,6,"Militæraktivitet, klargøring i felten, grave forsvarsstillinger"
Løb,12010,6,Kombineret gå-/joggetur (jogging-sekvenser under 10 minutter)
Løb,12020,7.5,"Jogging, generelt, selvvalgt tempo"
Løb,12025,4.8,Jogging på stedet
Løb,12026,3.3,"Jogging, 4 - 6 km/t"
Løb,12027,4.5,Jogging på minitrampolin
Løb,12028,6.5,"Løb, 6,4 - 6,8 km/t (8 min/km)"
Løb,12029,7.8,"Løb, 6,9 - 7,7 km/t (8 - 7:45 min/km)"
Løb,12030,8.5,"Løb, 8 - 8,4 km/t (7:30 min/km)"
Løb,12045,9,"Løb, 8,8 - 9,3 km/t"
Løb,12050,9.3,"Løb, 9,7 - 10,1 km/t (6:15 min/km)"
Løb,12060,10.5,"Løb, 10,8 km/t (5:35 min/km)"
Løb,12070,11,"Løb, 11,3 km/t (5:15 min/km)"
Løb,12080,11.8,"Løb, 12 km/t (5:00 min/km)"
Løb,12090,12,"Løb, 12,9 km/t (4:40 min/km)"
Løb,12100,12.5,"Løb, 13,8 km/t (4:20 min/km)"
Løb,12110,13,"Løb, 14,5 km/t (4:00 min/km)"
Løb,12115,14.8,"Løb, 15 - 15,5 km/t"
Løb,12120,14.8,"Løb, 16,1 km/t (3:45 min/km)"
Løb,12130,16.8,"Løb, 17,7 km/t (3:25 min/km)"
Løb,12132,18.5,"Løb, 19,3 km/t (3:05 min/km)"
Løb,12134,19.8,"Løb, 20,9 km/t (2:50 min/km)"
Løb,12135,23,"Løb, 22,5 km/t (2:40 min/km)"
Løb,12140,9.3,"Løb, terrænløb (cross country)"
Løb,12145,10.5,"Løb, selvvalgt tempo"
Løb,12150,8,Løb (Taylor-kode 200)
Løb,12170,15,"Løb på trapper, opad"
Løb,12180,10,"Løb på atletikbane, holdtræning"
Løb,12184,18,"Løb på atletikbane, 500-1500m, konkurrence"
Løb,12186,19.3,"Løb på atletikbane, 2000-3000m, konkurrence"
Løb,12190,8,"Løb, træning, skubbe kørestol eller løbevogn"
Løb,12200,13.3,"Løb, maraton"
Løb,12255,10.3,"Løb, op ad bakke, 7,2 km/t, 5% stigning"
Løb,12260,13.3,"Løb, op ad bakke, 9,7 km/t, 5% stigning"
Løb,12265,15.5,"Løb op ad bakke, 11,3 km/t, 5% stigning"
Løb,12325,17.5,"Løb op ad bakke, 8 - 9,5 km/t, 15% stigning"
Løb,12335,8.8,"Løb op ad bakke, 1 - 1,3 km/t, 30% stigning"
Løb,12337,10.3,"Løb op ad bakke, 1,3 - 1,6 km/t, 30% stigning"
Løb,12339,11.8,"Løb op ad bakke, 1,6 - 1,9 km/t, 30% stigning"
Løb,12341,13.5,"Løb op ad bakke, 1,9 - 2,2 km/t, 30-40% stigning"
Løb,12343,14.8,"Løb op ad bakke, 2,3 - 2,6 km/t, 30% stigning"
Løb,12345,16.3,"Løb op ad bakke, >2,6 km/t, 10-30% stigning"
Løb,12350,16,"Løb, bakket terræn, ±100m højdeforskel"
Løb,12352,5.8,"Løb ned ad bakke, 8 - 9,5 km/t, 10-15% hældning nedad"
Løb,12353,7.5,"Løb ned ad bakke, 9,7 - 11,1 km/t, 10-15% hældning nedad"
Løb,12355,9,"Løb ned ad bakke, 11,3 - 14,3 km/t, 10-15% hældning nedad"
Løb,12358,9.3,"Løb ned ad bakke, 9,7 - 12,7 km/t, 3-9% hældning nedad"
Løb,12361,13.8,"Løb ned ad bakke, 12,9 - 16,9 km/t, 3-9% hældning nedad"
Løb,12405,5.3,"Løb/jogging, buet løbebånd, 4,8 - 6,3 km/t"
Løb,12408,6.5,"Løb/jogging, buet løbebånd, 6,4 - 7,9 km/t"
Løb,12410,11,"Løb, buet løbebånd, 8 - 9,5 km/t"
Løb,12412,12,"Løb, buet løbebånd, 11,3 - 12,7 km/t"
Løb,12414,14,"Løb, buet løbebånd, 12,9 - 14,3 km/t"
Løb,12416,16.8,"Løb, buet løbebånd, 14,5 - 15,9 km/t"
Løb,12508,8.5,"Løb, 8 - 9,5 km/t, 1-3 kg rygsæk"
Løb,12510,9.5,"Løb, 9,7 - 11,1 km/t, 1-3 kg rygsæk"
Løb,12512,9.8,"Løb, 11,3 - 12,7 km/t, 1-3 kg rygsæk"
Løb,12514,12,"Løb, 12,9 - 14,3 km/t, 1-3 kg rygsæk"
Løb,12555,7.8,"Løb, barfodet, 5,6 - 9,5 km/t"
Løb,12560,12,"Løb, barfodet, 9,7 - 12,7 km/t"
Løb,12565,13.5,"Løb, barfodet, 12,9 - 14,3 km/t"
Løb,12585,8,"Løb med løbevogn, indendørs, 8 km/t"
Løb,12588,9,"Løb med løbevogn, indendørs, 9,7 km/t"
Løb,12593,10,"Løb med løbevogn, udendørs, 8 km/t"
Løb,12595,11.5,"Løb med løbevogn, udendørs, 9,7 km/t"
Løb,12600,11.5,"Hinke/Skipping, 8,8 - 9,7 km/t"
Løb,12620,13,"Triatlon, Løb"
Personlig pleje,13000,2.3,"Gøre sig klar til sengetid, generelt, stående"
Personlig pleje,13009,2.3,Sidde på toilet / toiletbesøg stående eller på hug
Personlig pleje,13010,1.5,"Badning, siddende"
Personlig pleje,13020,2.8,"Påklædning, afklædning, stående eller siddende"
Personlig pleje,13030,1.5,"Spise, siddende"
Personlig pleje,13035,2,"Tale og spise eller kun spise, stående"
Personlig pleje,13036,1.5,"Tage medicin, siddende eller stående"
Personlig pleje,13040,2,"Personlig pleje, vaske hænder, barbere sig, børste tænder, lægge makeup, siddende/stående"
Personlig pleje,13045,2.5,"Sætte hår, stående"
Personlig pleje,13046,1.3,"Få ordnet hår eller negle af andre, siddende"
Personlig pleje,13050,2,"Brusebad, tørre sig med håndklæde, stående"
Seksuel aktivitet,14010,5.8,"Aktiv, hård indsats"
Seksuel aktivitet,14020,3,"Generelt, moderat indsats"
Seksuel aktivitet,14030,1.8,"Passiv, let indsats, kysse, kramme"
Sport og idræt,15000,5.5,"Alaska Native Games, Eskimo Olympics, generelt"
Sport og idræt,15010,4.3,Bueskydning (ikke jagt)
Sport og idræt,15020,7,"Badminton, konkurrence (Taylor-kode 450)"
Sport og idræt,15025,9,"Badminton, konkurrence, kamp"
Sport og idræt,15030,5.5,"Badminton, hygge-single og -double, generelt"
Sport og idræt,15040,8,"Basketball, kamp (Taylor-kode 490)"
Sport og idræt,15050,6,"Basketball, uden for kamp, generelt (Taylor-kode 480)"
Sport og idræt,15055,7.5,"Basketball, generelt"
Sport og idræt,15060,7,"Basketball, dommergerning (Taylor-kode 500)"
Sport og idræt,15062,5.8,"Basketball, dommergerning"
Sport og idræt,15070,5,"Basketball, skyde på kurv"
Sport og idræt,15072,9.3,"Basketball, øvelser, træning"
Sport og idræt,15080,2.5,Billard
Sport og idræt,15090,3,Bowling (Taylor-kode 390)
Sport og idræt,15092,3.8,"Bowling, indendørs i bowlinghal"
Sport og idræt,15100,12.3,"Boksning, i ringen, generelt"
Sport og idræt,15110,5.8,"Boksning, boksesæk"
Sport og idræt,15113,7,"Boksning, boksesæk, 60 slag/min"
Sport og idræt,15115,8.5,"Boksning, boksesæk, 120 slag/min"
Sport og idræt,15118,10.8,"Boksning, boksesæk, 180 slag/min"
Sport og idræt,15120,7.8,"Boksning, sparring"
Sport og idræt,15125,9.3,"Boksning, simuleret bokserunde, træning"
Sport og idræt,15130,7,Broomball
Sport og idræt,15138,6,"Cheerleading, gymnastiske bevægelser, konkurrence"
Sport og idræt,15140,4,"Trænergerning (fodbold, basketball, svømning osv.)"
Sport og idræt,15142,8,"Trænergerning, aktiv deltagelse i sport med spillerne"
Sport og idræt,15150,4.8,"Cricket, batting, bowling, fielding"
Sport og idræt,15160,3.3,Kroket
Sport og idræt,15170,4,Curling
Sport og idræt,15180,2.5,"Dart, indendørs eller udendørs"
Sport og idræt,15190,6,"Drag racing, skubbe eller køre en bil"
Sport og idræt,15192,8.5,"Motorsport, open wheel / formel-biler"
Sport og idræt,15195,7.8,Futsal
Sport og idræt,15200,6,"Fægtning, generelt"
Sport og idræt,15203,9.8,"Fægtning, kårde, konkurrence"
Sport og idræt,15205,10.5,Floorball
Sport og idræt,15210,8,"Amerikansk fodbold, konkurrence"
Sport og idræt,15230,8,"Amerikansk fodbold, touch/flag, generelt (Taylor-kode 510)"
Sport og idræt,15232,4,"Amerikansk fodbold, touch/flag, let indsats"
Sport og idræt,15235,2.5,"Amerikansk fodbold eller baseball, kaste gris"
Sport og idræt,15240,3,"Frisbee, generelt"
Sport og idræt,15250,8,Ultimate frisbee
Sport og idræt,15252,3.8,Disc golf / frisbee golf
Sport og idræt,15255,4.5,"Golf, generelt"
Sport og idræt,15265,4.3,"Golf, gående, bære køller"
Sport og idræt,15270,3.5,"Minigolf, driving range"
Sport og idræt,15285,4.5,"Golf, gående, trække golfvogn"
Sport og idræt,15290,3.5,"Golf, køre i golfbil (Taylor-kode 070)"
Sport og idræt,15300,3.8,"Gymnastik, generelt"
Sport og idræt,15310,4,Hacky sack
Sport og idræt,15320,12,"Håndbold, generelt (Taylor-kode 520)"
Sport og idræt,15330,8,"Håndbold, hold"
Sport og idræt,15335,4,"Klatrepark / svævebane, flere elementer"
Sport og idræt,15340,3.5,Drageflyvning
Sport og idræt,15350,7.8,"Hockey, landhockey"
Sport og idræt,15360,8,"Ishockey, generelt"
Sport og idræt,15362,10,"Ishockey, konkurrence"
Sport og idræt,15370,5.5,"Ridning, generelt"
Sport og idræt,15380,4.5,"Hestepleje, vedligeholdelse, sadling"
Sport og idræt,15390,5.8,"Ridning, trav"
